title,previous_rank,current_rank,rank_change,status
허수아비,,1,,new_in_current_top20
기리고,,2,,new_in_current_top20
21세기 대군부인,,3,,new_in_current_top20
오늘도 매진했습니다,,4,,new_in_current_top20
모두가 자신의 무가치함과 싸우고 있다,,5,,new_in_current_top20
살목지,,6,,new_in_current_top20
왕과 사는 남자,,7,,new_in_current_top20
란 12.3,,8,,new_in_current_top20
프로젝트 Y,,9,,new_in_current_top20
정점,,10,,new_in_current_top20
하우스메이드,,11,,new_in_current_top20
짱구,,12,,new_in_current_top20
성난 사람들,,13,,new_in_current_top20
유미의 세포들 시즌 3,,14,,new_in_current_top20
악마는 프라다를 입는다,,15,,new_in_current_top20
세계의 주인,,16,,new_in_current_top20
프로젝트 헤일메리,,17,,new_in_current_top20
사냥개들 2,,18,,new_in_current_top20
베팅 온 팩트,,19,,new_in_current_top20
바람,,20,,new_in_current_top20
매드 맥스: 분노의 도로,1,,,not_in_current_top20
목스박,2,,,not_in_current_top20
시민덕희,3,,,not_in_current_top20
댓글부대,4,,,not_in_current_top20
히든 피겨스,5,,,not_in_current_top20
가여운 것들,6,,,not_in_current_top20
플랜 75,7,,,not_in_current_top20
소울메이트,8,,,not_in_current_top20
괴물,9,,,not_in_current_top20
더 퍼지,10,,,not_in_current_top20
추락의 해부,11,,,not_in_current_top20
코코,12,,,not_in_current_top20
듄,13,,,not_in_current_top20
마더,14,,,not_in_current_top20
로봇 드림,15,,,not_in_current_top20
게임 체인저,16,,,not_in_current_top20
듄: 파트2,17,,,not_in_current_top20
사모님의 유혹,18,,,not_in_current_top20
인사이드 아웃,19,,,not_in_current_top20
지락이의 뛰뛰빵빵,20,,,not_in_current_top20
은밀하게 위대하게,21,,,not_in_current_top20
슬픔의 삼각형,22,,,not_in_current_top20
웡카,23,,,not_in_current_top20
시카고,24,,,not_in_current_top20
스즈메의 문단속,25,,,not_in_current_top20
더 메뉴,26,,,not_in_current_top20
우는 남자,27,,,not_in_current_top20
바빌론,28,,,not_in_current_top20
매드 맥스,29,,,not_in_current_top20
업,30,,,not_in_current_top20
양자물리학,31,,,not_in_current_top20
시수,32,,,not_in_current_top20
줄무늬 파자마를 입은 소년,33,,,not_in_current_top20
비거 스플래쉬,34,,,not_in_current_top20
외계+인 2부,35,,,not_in_current_top20
소풍,36,,,not_in_current_top20
오펜하이머,37,,,not_in_current_top20
범죄도시,38,,,not_in_current_top20
바비,39,,,not_in_current_top20
뒤주,40,,,not_in_current_top20
펄프 픽션,41,,,not_in_current_top20
월터의 상상은 현실이 된다,42,,,not_in_current_top20
비키퍼,43,,,not_in_current_top20
헤어질 결심,44,,,not_in_current_top20
범죄도시 3,45,,,not_in_current_top20
굿 윌 헌팅,46,,,not_in_current_top20
남은 인생 10년,47,,,not_in_current_top20
올드보이,48,,,not_in_current_top20
우리들,49,,,not_in_current_top20
고질라 VS. 콩,50,,,not_in_current_top20
크로니클,51,,,not_in_current_top20
택시,52,,,not_in_current_top20
위대한 쇼맨,53,,,not_in_current_top20
녹터널 애니멀스,54,,,not_in_current_top20
에밀리: 범죄의 유혹,55,,,not_in_current_top20
보 이즈 어프레이드,56,,,not_in_current_top20
귀공자,57,,,not_in_current_top20
미션 임파서블: 데드 레코닝,58,,,not_in_current_top20
악인전,59,,,not_in_current_top20
대립군,60,,,not_in_current_top20
아가씨,61,,,not_in_current_top20
쇼생크 탈출,62,,,not_in_current_top20
모아나,63,,,not_in_current_top20
본 아이덴티티,64,,,not_in_current_top20
시큐리티,65,,,not_in_current_top20
범죄도시 2,66,,,not_in_current_top20
팬텀 스레드,67,,,not_in_current_top20
콰이어트 플레이스,68,,,not_in_current_top20
"부르고뉴, 와인에서 찾은 인생",69,,,not_in_current_top20
컨택트,70,,,not_in_current_top20
악마를 보았다,71,,,not_in_current_top20
김씨 표류기,72,,,not_in_current_top20
미드소마,73,,,not_in_current_top20
노인을 위한 나라는 없다,74,,,not_in_current_top20
팟 제너레이션,75,,,not_in_current_top20
"가라, 아이야, 가라",76,,,not_in_current_top20
스포트라이트,77,,,not_in_current_top20
트랜스포머,78,,,not_in_current_top20
밀수,79,,,not_in_current_top20
애프터썬,80,,,not_in_current_top20
콰이어트 플레이스 2,81,,,not_in_current_top20
서치 2,82,,,not_in_current_top20
좀비랜드: 더블 탭,83,,,not_in_current_top20
드래곤 길들이기 3,84,,,not_in_current_top20
랜드 오브 배드,85,,,not_in_current_top20
던전 앤 드래곤: 도적들의 명예,86,,,not_in_current_top20
다크 나이트,87,,,not_in_current_top20
테넷,88,,,not_in_current_top20
멀홀랜드 드라이브,89,,,not_in_current_top20
트루먼 쇼,90,,,not_in_current_top20
파벨만스,91,,,not_in_current_top20
건국전쟁,92,,,not_in_current_top20
스파이더맨: 노 웨이 홈,93,,,not_in_current_top20
잠,94,,,not_in_current_top20
인셉션,95,,,not_in_current_top20
찰리와 초콜릿 공장,96,,,not_in_current_top20
큐어,97,,,not_in_current_top20
엘리멘탈,98,,,not_in_current_top20
30일,99,,,not_in_current_top20
너와 나,100,,,not_in_current_top20
